No,Loan_No,Loan_Code,Batch,Township,Region_State,Entity Name,Loan_Type,Company_Registration_No,Source
43,H-00005,01-043,ပထမအသုတ်,မရမ်းကုန်း,ရန်ကုန်တိုင်းဒေသကြီး,KREATE HOLDINGS LIMITED,သိန်း ၁၀၀၀ အောက်,111161682,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
44,H-00006,01-044,ပထမအသုတ်,တာမွေ,ရန်ကုန်တိုင်းဒေသကြီး,"Hawaii Myanmar Co.,Ltd",သိန်း ၁၀၀၀ အောက်,112847022,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
45,H-00008,01-045,ပထမအသုတ်,ဒဂုံမြို့သစ်(တောင်ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,တမ်းတ ယိုစုံ,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
46,H-00009,01-046,ပထမအသုတ်,တာမွေ,ရန်ကုန်တိုင်းဒေသကြီး,လုပ်သား မုန့်ဟင်းခါးလုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
47,H-00011,01-047,ပထမအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,ရွှင်လန်းဆန်း သောက်ရေသန့်စက်ရုံ,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
48,O-00007,01-048,ပထမအသုတ်,တောင်ဥက္ကလာပ,ရန်ကုန်တိုင်းဒေသကြီး,"Power Line Electric Co.,Ltd",သိန်း ၁၀၀၀ အောက်,112803041,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
49,O-00017,01-049,ပထမအသုတ်,သန်လျင်,ရန်ကုန်တိုင်းဒေသကြီး,UP Group Air-Con Service,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
50,O-00023,01-050,ပထမအသုတ်,လှိုင်သာယာ,ရန်ကုန်တိုင်းဒေသကြီး,"Bright One Co.,Ltd",သိန်း ၁၀၀၀ အောက်,115275224,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
51,C-00007,01-051,ပထမအသုတ်,မရမ်းကုန်း,ရန်ကုန်တိုင်းဒေသကြီး,အေကေဝိုင်တီ ကုမ္ပဏီလီမိတက် ဟိုတယ်ကန်ရိပ်သာ,သိန်း ၁၀၀၀ အောက်,101718727,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
52,C-00019,01-052,ပထမအသုတ်,ညောင်ဦး(ပုဂံမြို့သစ်),မန္တလေးတိုင်းဒေသကြီး,Hotel Sincere Smile Bagan,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
